group,algo,reward,n_seeds,ep_len_mean_of_means,ep_len_std_of_means,ep_len_min_of_means,ep_len_max_of_means,success_rate_mean
dqn_sparse,DQN,sparse,2,691.235,214.18971508921717,539.78,842.69,0.85
ppo_pbrs,PPO,PBRS,3,397.4766666666667,20.155655120420516,377.71,418.0,0.9966666666666667
